complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0255,C0004,O01153,DELAY,Phone,LOW,18/01/25 03:57,ESCALATED,3,0.0
CP0256,C0191,O00125,APPISSUE,App,MEDIUM,21/09/25 16:27,RESOLVED,3,24.06
CP0257,C0381,O00271,DRIVERBEHAVIOUR,Phone,LOW,25/09/25 21:51,OPEN,2,10.53
CP0258,C0013,O00531,SUPPORTEXPERIENCE,App,MEDIUM,05/06/25 08:49,OPEN,16,9.98
CP0259,C0545,O00959,APPISSUE,App,MEDIUM,13/08/24 18:39,AWAITINGCUSTOMER,12,14.36
CP0260,C0250,O00231,MISSEDPICKUP,Chatbot,HIGH,15/12/24 23:23,RESOLVED,5,24.73
CP0261,C0566,O00249,APPISSUE,Email,HIGH,11/10/24 18:22,OPEN,18,47.09
CP0262,C0491,O00438,APPISSUE,Chatbot,LOW,01/06/26 18:23,RESOLVED,8,29.25
CP0263,C0561,O00270,DELAY,Phone,MEDIUM,11/07/25 15:25,AWAITINGCUSTOMER,3,27.52
CP0264,C0054,O01063,MISSEDPICKUP,Email,MEDIUM,08/01/24 20:15,ESCALATED,1,12.41
CP0265,C0115,O00336,DRIVERBEHAVIOUR,Chatbot,LOW,01/10/24 04:58,ESCALATED,7,14.36
CP0266,C0544,O00050,DAMAGE,App,HIGH,30/03/24 13:44,OPEN,15,38.9
CP0267,C0521,O00111,DRIVERBEHAVIOUR,App,MEDIUM,25/07/25 11:53,AWAITINGCUSTOMER,3,15.26
CP0268,C0445,O00675,APPISSUE,App,MEDIUM,27/02/24 17:22,OPEN,14,37.15
CP0269,C0172,O00330,SUPPORTEXPERIENCE,Email,MEDIUM,20/04/25 06:37,RESOLVED,3,17.96
CP0270,C0208,O00636,BILLING,Email,MEDIUM,30/06/24 07:22,RESOLVED,6,23.97
CP0271,C0573,O00393,DELAY,Chatbot,HIGH,10/08/25 17:42,RESOLVED,18,33.09
CP0272,C0208,O00771,DELAY,App,MEDIUM,29/07/25 22:53,RESOLVED,10,12.97
CP0273,C0010,O00481,DELAY,Phone,MEDIUM,20/04/25 22:35,RESOLVED,10,15.73
CP0274,C0622,O00190,SUPPORTEXPERIENCE,App,MEDIUM,01/01/25 06:44,AWAITINGCUSTOMER,7,0.0
CP0275,C0109,O00071,MISSEDPICKUP,App,MEDIUM,09/03/24 22:15,AWAITINGCUSTOMER,10,18.13
CP0276,C0015,O01124,APPISSUE,Phone,HIGH,14/05/24 16:45,RESOLVED,12,19.46
CP0277,C0444,O01088,MISSEDPICKUP,App,HIGH,12/05/24 10:32,AWAITINGCUSTOMER,7,46.17
CP0278,C0285,O00483,MISSEDPICKUP,Phone,MEDIUM,27/11/24 00:34,ESCALATED,7,12.14
CP0279,C0573,O00031,BILLING,App,MEDIUM,27/10/24 03:17,RESOLVED,1,19.87
CP0280,C0369,O00753,DRIVERBEHAVIOUR,Email,MEDIUM,18/01/25 02:40,RESOLVED,6,3.44
CP0281,C0510,O01125,MISSEDPICKUP,Chatbot,HIGH,25/06/25 11:43,RESOLVED,11,44.57
CP0282,C0335,O00601,DRIVERBEHAVIOUR,Email,MEDIUM,06/03/25 04:16,ESCALATED,4,18.1
CP0283,C0252,O00401,DRIVERBEHAVIOUR,Email,HIGH,30/06/24 11:15,OPEN,11,61.11
CP0284,C0211,O00545,APPISSUE,Phone,MEDIUM,22/04/25 01:02,RESOLVED,9,32.59
CP0285,C0172,O00773,MISSEDPICKUP,App,HIGH,25/01/24 23:46,RESOLVED,12,37.06
CP0286,C0015,O00873,DRIVERBEHAVIOUR,App,HIGH,12/05/24 12:06,RESOLVED,10,0.0
CP0287,C0405,O00971,DRIVERBEHAVIOUR,Phone,HIGH,27/12/25 15:30,OPEN,20,0.0
CP0288,C0459,O01202,DELAY,Phone,MEDIUM,14/11/24 15:24,ESCALATED,5,20.75
CP0289,C0532,O01012,MISSEDPICKUP,App,MEDIUM,14/03/25 05:05,RESOLVED,1,25.56
CP0290,C0259,O00351,SUPPORTEXPERIENCE,App,MEDIUM,05/03/24 03:31,RESOLVED,6,18.82
CP0291,C0515,O00588,SUPPORTEXPERIENCE,Phone,MEDIUM,06/11/24 11:49,AWAITINGCUSTOMER,7,20.04
CP0292,C0187,O00765,MISSEDPICKUP,Phone,LOW,21/07/24 03:25,OPEN,11,15.26
CP0293,C0449,O00202,DRIVERBEHAVIOUR,Phone,MEDIUM,02/02/24 01:04,RESOLVED,3,28.0
CP0294,C0339,O00089,APPISSUE,Phone,HIGH,30/04/25 18:23,OPEN,19,39.64
CP0295,C0182,O01107,BILLING,Email,MEDIUM,30/01/24 07:32,OPEN,1,4.94
CP0296,C0243,O00041,MISSEDPICKUP,Phone,MEDIUM,17/09/24 13:42,RESOLVED,1,6.59
CP0297,C0571,O00776,DELAY,App,LOW,03/07/25 00:53,RESOLVED,6,5.67
CP0298,C0285,O00483,DELAY,App,MEDIUM,19/11/24 00:34,ESCALATED,1,16.85
CP0299,C0178,O00326,DELAY,App,HIGH,15/11/24 09:05,OPEN,11,0.0
CP0300,C0408,O00553,SUPPORTEXPERIENCE,Phone,LOW,15/01/24 20:55,OPEN,14,4.56
CP0301,C0023,O00414,DRIVERBEHAVIOUR,Phone,MEDIUM,04/05/25 20:30,RESOLVED,4,16.83
CP0302,C0372,O00373,MISSEDPICKUP,Chatbot,HIGH,06/03/24 20:00,RESOLVED,8,37.07
CP0303,C0294,O00872,MISSEDPICKUP,App,LOW,11/11/24 11:01,OPEN,9,15.19
CP0304,C0178,O00455,DELAY,Phone,MEDIUM,14/08/24 02:36,OPEN,7,20.69
CP0305,C0226,O01015,DRIVERBEHAVIOUR,Chatbot,HIGH,08/08/25 21:14,RESOLVED,11,37.25
CP0306,C0004,O00081,DAMAGE,App,HIGH,26/04/25 12:53,RESOLVED,21,35.58
CP0307,C0248,O00900,DRIVERBEHAVIOUR,Chatbot,MEDIUM,20/09/24 00:05,RESOLVED,4,0.0
CP0308,C0597,O00865,DRIVERBEHAVIOUR,Phone,HIGH,28/03/24 00:53,RESOLVED,13,37.97
CP0309,C0175,O01106,DAMAGE,Email,HIGH,03/01/24 00:14,RESOLVED,7,57.63
CP0310,C0421,O00219,DRIVERBEHAVIOUR,Phone,HIGH,06/08/24 23:42,RESOLVED,13,45.71
CP0311,C0636,O00894,DRIVERBEHAVIOUR,App,HIGH,15/01/24 22:16,RESOLVED,19,0.0
CP0312,C0026,O00341,DELAY,App,MEDIUM,23/12/24 20:58,OPEN,12,19.78
CP0313,C0028,O00290,DELAY,Chatbot,LOW,27/09/24 22:30,RESOLVED,2,8.86
CP0314,C0378,O00443,SUPPORTEXPERIENCE,App,LOW,28/10/25 00:06,RESOLVED,6,4.67
CP0315,C0517,O00645,MISSEDPICKUP,Chatbot,HIGH,28/12/24 21:06,RESOLVED,14,58.16
CP0316,C0454,O00055,MISSEDPICKUP,Phone,MEDIUM,06/05/25 23:44,RESOLVED,7,12.97
CP0317,C0631,O00406,DRIVERBEHAVIOUR,Chatbot,MEDIUM,17/01/25 13:07,RESOLVED,6,26.52
CP0318,C0056,O00628,DELAY,App,MEDIUM,11/02/24 10:05,OPEN,5,20.42
CP0319,C0325,O00167,DELAY,Email,MEDIUM,27/04/24 20:46,RESOLVED,2,11.9
CP0320,C0207,O01179,MISSEDPICKUP,Email,MEDIUM,16/10/25 18:48,RESOLVED,1,1.97
